(q1, q2) = (4, 5)
0 0.0625 0.0001220703125 0.24416895871292196 0.21646611389022144
5 0.0625 0.0001220703125 0.17843713672747352 0.15223975512257604
5 0.125 0.000244140625 0.1784039822552962 0.15222089177551815
5 0.25 0.000244140625 0.17838705037520014 0.15366354781516203
5 0.5 0.0009765625 0.17826762913025895 0.1524108698130826
10 0.0625 0.0001220703125 0.11534638086444766 0.09259098414607018
10 0.125 0.0001220703125 0.10499211653960883 0.08270942055979062
10 0.25 0.0001220703125 0.10174941734442067 0.07911605261196533
20 0.125 0.0001220703125 0.0998349520072522 0.07548810122184628
20 0.25 0.0001220703125 0.09809120604473076 0.07391377853574849
80 0.125 0.0001220703125 0.09805899120990534 0.07377343748536684
160 0.0625 0.0001220703125 0.09804426719551332 0.07361255763838948
160 0.125 0.0001220703125 0.09748349931507055 0.07288525509019153
160 0.25 0.0001220703125 0.09547255274561253 0.06490838499199969
160 0.5 0.00048828125 0.0946412112480456 0.06509075917962391
320 0.25 0.0001220703125 0.09423902831440245 0.06063863768215251
320 0.25 0.000244140625 0.09336884928276815 0.06310777390947683
320 0.5 0.00048828125 0.09269457773075328 0.06068694555800648
320 0.5 0.0009765625 0.09233261465096597 0.06350073771859442
320 1.0 0.001953125 0.09202242141331049 0.06172201965884558
(0.09202242141331049, 0.06172201965884558)
