(q1, q2) = (4, 5)
0 0.125 0.0001220703125 0.24416895871292196 0.21646611389022144
5 0.125 0.0001220703125 0.15035649354188813 0.12354073759646232
5 0.25 0.0001220703125 0.1194078562106938 0.08836807807101366
5 0.5 0.0001220703125 0.11781650197018115 0.0878488469110774
10 0.125 0.0001220703125 0.10973423444246719 0.07880171447275888
10 0.25 0.0001220703125 0.10771264268924732 0.07773583718833284
10 0.5 0.0001220703125 0.10485983280609931 0.08045781981751035
10 1.0 0.0001220703125 0.10403116527178422 0.08790299105331464
10 1.0 0.0009765625 0.10380243645693574 0.08669440627916063
40 0.25 0.0001220703125 0.10283028017089187 0.07075442534107053
40 0.5 0.0001220703125 0.10247970499558941 0.07111239932617397
40 0.5 0.000244140625 0.10178214364214452 0.07034461960908567
80 1.0 0.00048828125 0.10036186614151218 0.07125022977770759
80 1.0 0.0009765625 0.09996155509220776 0.07015003886316584
320 1.0 0.0009765625 0.09932160076851645 0.06874523945877714
320 1.0 0.001953125 0.09890028873458126 0.06765334149721489
(0.09890028873458126, 0.06765334149721489)
