(q1, q2) = (4, 5)
0 2 0.0001220703125 0.24416895871292196 0.21646611389022144
5 2 0.0001220703125 0.17984317691753324 0.16246273265781014
5 2 0.000244140625 0.1796816033665858 0.16254311936382249
5 2 0.00048828125 0.17957332292672606 0.1624529002682832
5 2 0.0009765625 0.17953643670467512 0.16227786507808023
5 2 0.001953125 0.17947382239761248 0.1619504176545952
5 4 0.0001220703125 0.17895426111902926 0.16705546334790547
5 4 0.000244140625 0.1787299600313431 0.16696304504189596
5 4 0.00048828125 0.17860852295189927 0.1667001549489604
5 4 0.0009765625 0.17860611043796976 0.16619834756536736
