(q1, q2) = (4, 5)
0 0.0625 0.0001220703125 0.24416895871292196 0.21646611389022144
5 0.0625 0.0001220703125 0.2402641918663552 0.20992626421958072
10 0.0625 0.0001220703125 0.19880648761549052 0.17479470786448045
10 0.125 0.0001220703125 0.19773814506684695 0.17506223832724646
20 0.0625 0.0001220703125 0.16158292110568445 0.12708219011503882
20 0.125 0.0001220703125 0.15915690332833335 0.12403980413500036
40 0.0625 0.0001220703125 0.12627788102529622 0.10262743896049938
40 0.125 0.0001220703125 0.11484193441777864 0.08532092197561437
40 0.25 0.0001220703125 0.10869365267594333 0.08831455500638427
80 0.125 0.0001220703125 0.10758602824211483 0.07573262951366393
320 0.0625 0.0001220703125 0.10757038574378622 0.07210185212004437
320 0.125 0.0001220703125 0.10744786496433378 0.07187931020564808
320 0.25 0.00048828125 0.10735717507120443 0.07185939928571505
(0.10735717507120443, 0.07185939928571505)
