(q1, q2) = (4, 5)
0 0.125 0.0001220703125 0.24416895871292196 0.21646611389022144
5 0.125 0.0001220703125 0.2377187713832995 0.213717085440452
5 0.125 0.000244140625 0.23722252273424682 0.21330365466970289
5 0.125 0.00048828125 0.2367189140193629 0.21304341789757542
10 0.125 0.0001220703125 0.22465874599289926 0.19378527993958122
10 0.125 0.000244140625 0.22429819194531508 0.19276087843467854
10 0.25 0.000244140625 0.22398000575619736 0.1944634275445775
20 0.125 0.0001220703125 0.1873006480815383 0.19054409838130945
40 0.125 0.0001220703125 0.11133857885552723 0.08089414439675173
40 0.25 0.0001220703125 0.11107156364652052 0.07745234709722343
80 0.125 0.0001220703125 0.10887550697956047 0.07073172880925142
160 0.125 0.0001220703125 0.10762199212623302 0.07230474358721142
320 0.125 0.0001220703125 0.1075270262655672 0.07285833973719602
320 0.125 0.000244140625 0.10748493689938812 0.07361470984658848
320 0.25 0.00048828125 0.10746967288762437 0.07375931968242387
(0.10746967288762437, 0.07375931968242387)
