(q1, q2) = (4, 5)
0 2 0.0001220703125 0.24416895871292196 0.21646611389022144
5 2 0.0001220703125 0.22669179621417576 0.20758784342443778
5 2 0.000244140625 0.22659707277021995 0.20745691099822341
5 2 0.00048828125 0.22641706310255869 0.20720241096914185
5 2 0.0009765625 0.22606651632843774 0.20672298800516756
5 2 0.001953125 0.22535972192790163 0.20588331072964802
10 2 0.0009765625 0.2250517252274303 0.20924989028702476
10 2 0.001953125 0.22233345746036814 0.20708265710799056
20 2 0.001953125 0.21728262696433495 0.1915947562900099
40 2 0.000244140625 0.21345226652957824 0.18830206627501023
40 2 0.00048828125 0.2068318551095555 0.179479003422604
40 2 0.0009765625 0.19744814820964948 0.16747921421514478
40 2 0.001953125 0.18938668985249446 0.15177202114183078
80 2 0.00048828125 0.18651362669011076 0.16860668122575362
80 2 0.0009765625 0.16226049936330916 0.1549231043747912
80 2 0.001953125 0.15486950564186935 0.13992054417897223
320 2 0.0009765625 0.15327571963229275 0.11819981514571982
320 2 0.001953125 0.14735863701974844 0.1127081926493563
(0.14735863701974844, 0.1127081926493563)
