(q1, q2) = (4, 5)
0 0.4 0.0001220703125 0.25199203412263527 0.25619912147907437
5 0.4 0.001953125 0.23353302458056632 0.14425547392464333
10 1.0 0.001953125 0.22758576791381618 0.18747527855941767
320 1.0 0.0001220703125 0.22138610938211353 0.18531346943431987
320 1.0 0.000244140625 0.22095677872987846 0.18370870071957365
320 1.0 0.00048828125 0.2200938562391725 0.1816165984577663
320 1.0 0.001953125 0.21695225634227494 0.16524260723042375
(0.21695225634227494, 0.16524260723042375)
0 0.4 0.0001220703125 0.25199203412263527 0.25619912147907437
5 0.4 0.001953125 0.23353302458056632 0.14425547392464333
10 1.0 0.001953125 0.22758576791381618 0.18747527855941767
320 1.0 0.0001220703125 0.22138610938211353 0.18531346943431987
320 1.0 0.000244140625 0.22095677872987846 0.18370870071957365
320 1.0 0.00048828125 0.2200938562391725 0.1816165984577663
320 1.0 0.001953125 0.21695225634227494 0.16524260723042375
